Student ID , Full Name,SEX , Programme ,Faculty/School,Age ,Region ,Year Level,Fees Paid GHS,Admission Status ,Phone Number,Email 
UCC02071,Student_0052,,info tech,Faculty of Education,,Eastern,200,4527.58,withdrawn,0244181281,student0052@ucc.edu.gh
UCC02072,Student_0053,male,BA Economics,School of Agriculture,22.0,Northern,400,3295.96,,0247258992,student0053@ucc.edu.gh
UCC02073,Student_0054,Female,BA Econ,School of Business,21.0,Oti,100,3708.07,Graduated,0248647562,student0054@ucc.edu.gh
UCC02074,Student_0055,female,BA Geography,School of Business,24.0,Upper East,200,6686.57,,0249526959,
UCC02075,Student_0056,M,BSc. Data Science,School of Agriculture,23.0,Central,300,4275.51,Graduated,0247751995,student0056@ucc.edu.gh
UCC02076,Student_0057,M,BSc Information Technology,School of Medical Sciences,22.0,Central,300,6632.82,,0240555836,student0057@ucc.edu.gh
UCC02077,Student_0058,Female,BEd Mathematics,Faculty of Education,23.0,Bono,400,3649.58,,0242711400,student0058@ucc.edu.gh
UCC02078,Student_0059,male,BEd Mathematics,School of Medical Sciences,25.0,North East,100,4110.83,withdrawn,0242595760,student0059@ucc.edu.gh
UCC02079,Student_0060,Female,BSc Data Science,School of Medical Sciences,24.0,Upper East,400,,,0240300902,student0060@ucc.edu.gh
UCC02080,Student_0061,,BSc Information Technology,School of Business,17.0,Eastern,100,5729.74,active,0249197697,student0061@ucc.edu.gh
UCC02081,Student_0062,M,BA Economics,School of Medical Sciences,20.0,Oti,300,5097.96,active,0243846307,student0062@ucc.edu.gh
UCC02082,Student_0063,Female,BA Economics,School of Economics,24.0,Western North,200,5002.02,active,0248897024,student0063@ucc.edu.gh
UCC02083,Student_0064,Female,BSc Data Science,School of Economics,,Upper East,300,6044.87,,0246704265,student0064@ucc.edu.gh
UCC02084,Student_0065,female,BA Geography,School of Business,,Western North,400,5527.73,withdrawn,0240144038,student0065@ucc.edu.gh
UCC02085,Student_0066,Female,BSc. Data Science,School of Medical Sciences,18.0,Ashanti,200,3167.75,Active,0248461013,student0066@ucc.edu.gh
UCC02086,Student_0067,,BA Economics,School of Economics,30.0,Upper East,100,5945.59,active,0245216789,student0067@ucc.edu.gh
UCC02087,Student_0068,female,BA Geography,Faculty of Science and Technology,27.0,Upper East,300,3515.23,Graduated,0247120052,
UCC02088,Student_0069,male,BSc. Data Science,Faculty of Science and Technology,26.0,Central,100,5982.07,Deferred,0243974581,student0069@ucc.edu.gh
UCC02089,Student_0070,female,BA Economics,School of Medical Sciences,23.0,Bono East,300,5328.44,Deferred,0242417132,student0070@ucc.edu.gh
UCC02090,Student_0071,M,BSc. Data Science,School of Business,22.0,Savannah,100,5481.89,withdrawn,0243359998,student0071@ucc.edu.gh
UCC02091,Student_0072,male,info tech,School of Economics,22.0,Oti,300,4271.17,Deferred,0242076149,student0072@ucc.edu.gh
UCC02092,Student_0073,,BCom Accounting,Faculty of Education,25.0,Northern,300,3500.76,withdrawn,0243834725,student0073@ucc.edu.gh
UCC02093,Student_0074,Female,BA Economics,Faculty of Education,27.0,Bono East,100,4618.22,Deferred,0245682444,student0074@ucc.edu.gh
UCC02094,Student_0075,M,info tech,School of Economics,23.0,North East,300,5151.53,Active,0245082536,student0075@ucc.edu.gh
UCC02095,Student_0076,female,BEd Mathematics,School of Medical Sciences,25.0,Ahafo,300,5488.32,Active,0247395969,student0076@ucc.edu.gh
UCC02096,Student_0077,female,BA Geography,Faculty of Science and Technology,27.0,Central,300,4181.12,Active,0246872386,student0077@ucc.edu.gh
UCC02097,Student_0078,Male ,info tech,Faculty of Science and Technology,26.0,Northern,400,,Active,0246010334,student0078@ucc.edu.gh
UCC02098,Student_0079,F,BSc. Data Science,School of Economics,24.0,Bono,300,4418.55,active,0244065730,student0079@ucc.edu.gh
UCC02099,Student_0080,,BSc Data Science,School of Agriculture,20.0,Savannah,100,5758.7,Graduated,0242896121,student0080@ucc.edu.gh
UCC02100,Student_0081,,Nursing,Faculty of Science and Technology,20.0,Upper West,100,2635.07,Active,0243136795,student0081@ucc.edu.gh
UCC02101,Student_0082,Female,BSc. Data Science,School of Economics,17.0,Western North,400,4463.62,,0248520820,student0082@ucc.edu.gh
UCC02102,Student_0083,F,BA Econ,School of Business,24.0,Eastern,300,,active,0241277151,student0083@ucc.edu.gh
UCC02103,Student_0084,male,BSc Nursing,Faculty of Science and Technology,23.0,Savannah,400,5396.49,withdrawn,0246927295,student0084@ucc.edu.gh
UCC02104,Student_0085,M,BEd Mathematics,School of Agriculture,27.0,Oti,400,6085.89,Deferred,0240760641,student0085@ucc.edu.gh
UCC02105,Student_0086,F,info tech,School of Medical Sciences,24.0,Eastern,300,2844.16,Deferred,0240151577,student0086@ucc.edu.gh
UCC02106,Student_0087,male,Nursing,School of Agriculture,21.0,Savannah,100,5181.23,active,0245435493,student0087@ucc.edu.gh
UCC02107,Student_0088,female,BSc Information Technology,Faculty of Science and Technology,21.0,Eastern,300,5861.26,,0245887908,student0088@ucc.edu.gh
UCC02108,Student_0089,F,BA Econ,School of Economics,24.0,Bono East,400,3622.06,,0244277819,student0089@ucc.edu.gh
UCC02109,Student_0090,M,BSc Nursing,Faculty of Education,23.0,Greater Accra,200,5961.98,Deferred,0243915092,student0090@ucc.edu.gh
UCC02110,Student_0091,Male ,BSc Nursing,Faculty of Science and Technology,28.0,Bono,400,3606.68,,0241671801,student0091@ucc.edu.gh
UCC02111,Student_0092,,Nursing,School of Agriculture,22.0,Eastern,100,,Active,0242107045,student0092@ucc.edu.gh
UCC02112,Student_0093,Male ,BSc Nursing,School of Economics,24.0,Oti,300,6206.81,Deferred,0246267924,student0093@ucc.edu.gh
UCC02113,Student_0094,F,BSc Agriculture,Faculty of Science and Technology,28.0,Central,200,3890.15,Active,0240872300,student0094@ucc.edu.gh
UCC02114,Student_0095,Male ,BA Econ,Faculty of Science and Technology,22.0,Bono,400,4482.81,Active,0245584257,student0095@ucc.edu.gh
UCC02115,Student_0096,male,BSc Agriculture,Faculty of Science and Technology,21.0,Ashanti,400,6136.25,Deferred,0246920353,student0096@ucc.edu.gh
UCC02116,Student_0097,Female,BA Econ,Faculty of Education,18.0,Upper East,400,1960.75,active,0244964410,student0097@ucc.edu.gh
UCC02117,Student_0098,M,BEd Mathematics,School of Economics,,Western,300,5384.39,withdrawn,0243972591,student0098@ucc.edu.gh
UCC02118,Student_0099,female,BSc. Data Science,School of Agriculture,24.0,Ahafo,300,6957.74,active,0248837191,student0099@ucc.edu.gh
UCC02119,Student_0100,M,BSc Agriculture,School of Business,27.0,North East,400,1223.28,Graduated,0245109114,student0100@ucc.edu.gh
UCC02120,Student_0101,female,Nursing,School of Agriculture,18.0,Ahafo,300,6092.85,Graduated,0245271923,student0101@ucc.edu.gh
UCC02121,Student_0102,Male ,BSc Information Technology,School of Medical Sciences,,Central,200,5789.98,Active,0244453967,student0102@ucc.edu.gh
UCC02122,Student_0103,male,BCom Accounting,Faculty of Education,,Western North,200,4735.45,Active,0243857804,student0103@ucc.edu.gh
UCC02123,Student_0104,female,BSc. Data Science,School of Medical Sciences,28.0,Central,100,5291.82,active,0246916628,student0104@ucc.edu.gh
UCC02124,Student_0105,,BSc Information Technology,School of Medical Sciences,23.0,Ahafo,300,5094.79,active,0246946653,student0105@ucc.edu.gh
UCC02125,Student_0106,Male ,BSc Agriculture,School of Business,21.0,Northern,300,4146.92,Active,0247174626,student0106@ucc.edu.gh
UCC02126,Student_0107,female,BSc Information Technology,Faculty of Science and Technology,17.0,Central,400,6284.59,,0248608614,student0107@ucc.edu.gh
UCC02127,Student_0108,F,BSc Nursing,School of Business,22.0,Northern,200,4792.49,withdrawn,0249168325,student0108@ucc.edu.gh
UCC02128,Student_0109,M,BA Geography,School of Medical Sciences,21.0,Savannah,300,5272.34,withdrawn,0247774515,student0109@ucc.edu.gh
UCC02129,Student_0110,Female,Nursing,Faculty of Education,17.0,Eastern,300,3647.93,Graduated,0244273121,student0110@ucc.edu.gh
UCC02130,Student_0111,Female,BEd Mathematics,School of Medical Sciences,22.0,Greater Accra,300,1998.09,,0241269095,student0111@ucc.edu.gh
UCC02131,Student_0112,male,BA Econ,School of Medical Sciences,26.0,Greater Accra,400,3385.4,withdrawn,0240237162,student0112@ucc.edu.gh
UCC02132,Student_0113,Male ,info tech,School of Business,22.0,Ashanti,200,6995.01,Deferred,0240512524,student0113@ucc.edu.gh
UCC02133,Student_0114,male,BA Economics,School of Economics,26.0,Volta,300,5573.04,Active,0242660526,student0114@ucc.edu.gh
UCC02134,Student_0115,M,info tech,School of Medical Sciences,27.0,Western North,300,4281.55,active,0240929177,student0115@ucc.edu.gh
UCC02135,Student_0116,Female,Nursing,School of Economics,22.0,Central,400,5486.85,Active,0248816635,student0116@ucc.edu.gh
UCC02136,Student_0117,female,BA Geography,Faculty of Science and Technology,22.0,Ashanti,100,5307.42,Deferred,0240504354,student0117@ucc.edu.gh
UCC02137,Student_0118,female,BCom Accounting,School of Medical Sciences,24.0,Bono East,400,2638.92,withdrawn,0244291697,student0118@ucc.edu.gh
UCC02138,Student_0119,male,BA Econ,School of Business,26.0,Upper East,300,5819.86,Active,0244802741,student0119@ucc.edu.gh
UCC02139,Student_0120,female,BA Economics,School of Agriculture,27.0,Bono,200,2510.27,Deferred,0249802363,student0120@ucc.edu.gh
UCC02140,Student_0121,female,BSc Data Science,Faculty of Science and Technology,27.0,Upper East,200,4045.5,,0241190689,student0121@ucc.edu.gh
UCC02141,Student_0122,,info tech,Faculty of Education,20.0,Upper West,300,3623.84,withdrawn,0241672383,student0122@ucc.edu.gh
UCC02142,Student_0123,,Nursing,School of Medical Sciences,27.0,Savannah,100,5041.28,Graduated,0245791060,student0123@ucc.edu.gh
UCC02143,Student_0124,female,BSc Data Science,School of Business,24.0,Eastern,400,5053.18,,0243419396,student0124@ucc.edu.gh
UCC02144,Student_0125,F,BCom Accounting,School of Medical Sciences,,Savannah,300,1193.79,Graduated,0243093543,student0125@ucc.edu.gh
UCC02145,Student_0126,,BSc Data Science,School of Business,19.0,Western,300,6276.11,Graduated,0241955537,student0126@ucc.edu.gh
UCC02146,Student_0127,Male ,,School of Business,20.0,Central,300,4874.94,,0240977488,
UCC02147,Student_0128,Male ,BSc Data Science,School of Economics,24.0,Ahafo,400,5955.42,Deferred,0249310776,student0128@ucc.edu.gh
UCC02148,Student_0129,Female,,School of Medical Sciences,21.0,Western,200,4839.78,Deferred,0242297710,student0129@ucc.edu.gh
UCC02149,Student_0130,,BSc. Data Science,School of Business,24.0,Ashanti,400,5011.24,active,0240020778,student0130@ucc.edu.gh
UCC02150,Student_0131,M,BSc. Data Science,School of Business,19.0,Upper West,300,3078.78,active,0243763027,student0131@ucc.edu.gh
UCC02151,Student_0132,female,BSc Agriculture,Faculty of Science and Technology,20.0,Greater Accra,200,3866.49,Graduated,0247160363,student0132@ucc.edu.gh
UCC02152,Student_0133,male,BSc. Data Science,School of Medical Sciences,22.0,Northern,100,4541.93,Active,0243604566,student0133@ucc.edu.gh
UCC02153,Student_0134,female,,School of Agriculture,22.0,Ahafo,300,5635.22,withdrawn,0246158661,student0134@ucc.edu.gh
UCC02154,Student_0135,M,BEd Mathematics,School of Agriculture,18.0,Bono East,200,4259.17,active,0246821510,student0135@ucc.edu.gh
UCC02155,Student_0136,female,BSc Agriculture,Faculty of Science and Technology,20.0,Volta,200,3936.94,withdrawn,0249389225,student0136@ucc.edu.gh
UCC02156,Student_0137,F,info tech,School of Economics,17.0,Western,200,3715.91,,0245795776,student0137@ucc.edu.gh
UCC02157,Student_0138,M,BSc Nursing,School of Economics,23.0,Western,300,5230.17,Active,0244305736,student0138@ucc.edu.gh
UCC02158,Student_0139,Male ,BEd Mathematics,School of Business,27.0,Western North,100,4690.1,Graduated,0242468863,student0139@ucc.edu.gh
UCC02159,Student_0140,Male ,BEd Mathematics,School of Business,20.0,Savannah,200,3740.65,withdrawn,0245328472,student0140@ucc.edu.gh
UCC02160,Student_0141,F,BCom Accounting,School of Business,,Bono,300,4567.69,,0248013186,student0141@ucc.edu.gh
UCC02161,Student_0142,Male ,BA Econ,School of Medical Sciences,26.0,Upper East,200,3896.56,Graduated,0241351821,student0142@ucc.edu.gh
UCC02162,Student_0143,Female,BSc. Data Science,School of Medical Sciences,19.0,Upper East,400,3626.01,withdrawn,0243432222,student0143@ucc.edu.gh
UCC02163,Student_0144,F,BSc. Data Science,School of Agriculture,26.0,Savannah,200,2882.26,Active,0245366308,student0144@ucc.edu.gh
UCC02164,Student_0145,Male ,BSc Data Science,Faculty of Education,19.0,Western North,300,3169.35,active,0246548895,student0145@ucc.edu.gh
UCC02165,Student_0146,,Nursing,School of Business,21.0,Upper West,200,4736.72,Deferred,0247601893,student0146@ucc.edu.gh
UCC02166,Student_0147,Male ,BEd Mathematics,School of Agriculture,22.0,Central,200,2368.19,Graduated,0242176820,student0147@ucc.edu.gh
UCC02167,Student_0148,Female,BSc. Data Science,Faculty of Science and Technology,25.0,Central,400,3788.94,active,0248442770,student0148@ucc.edu.gh
UCC02168,Student_0149,female,BEd Mathematics,School of Agriculture,28.0,Upper West,400,5576.45,withdrawn,0243581690,student0149@ucc.edu.gh
UCC02169,Student_0150,,BCom Accounting,Faculty of Education,21.0,Upper East,300,5978.39,,0249396223,student0150@ucc.edu.gh
UCC02170,Student_0151,M,BCom Accounting,School of Medical Sciences,,Oti,100,5244.18,,0247279877,student0151@ucc.edu.gh
UCC02171,Student_0152,Male ,BA Econ,School of Medical Sciences,,Oti,100,5779.1,active,0248327090,student0152@ucc.edu.gh
UCC02172,Student_0153,M,BSc. Data Science,School of Business,22.0,Savannah,100,4823.59,Deferred,0243929184,student0153@ucc.edu.gh
UCC02173,Student_0154,M,,Faculty of Science and Technology,,Ashanti,100,3536.8,Graduated,0242873944,
UCC02174,Student_0155,Male ,BEd Mathematics,Faculty of Science and Technology,30.0,Central,300,5623.0,Graduated,0247625510,student0155@ucc.edu.gh
UCC02175,Student_0156,,BSc Data Science,School of Agriculture,21.0,Bono East,300,,active,0246247444,student0156@ucc.edu.gh
UCC02176,Student_0157,M,Nursing,School of Economics,25.0,Upper West,400,4152.06,Active,0246103460,student0157@ucc.edu.gh
UCC02177,Student_0158,Female,BSc Data Science,School of Business,26.0,Ahafo,400,4053.1,withdrawn,0248935083,student0158@ucc.edu.gh
UCC02178,Student_0159,F,BSc Data Science,School of Medical Sciences,18.0,Upper East,100,4745.21,active,0244759297,student0159@ucc.edu.gh
UCC02179,Student_0160,,BSc Agriculture,School of Business,27.0,Ahafo,400,6159.69,Active,0245142382,student0160@ucc.edu.gh
UCC02180,Student_0161,Female,BSc Data Science,School of Agriculture,20.0,Ahafo,300,4348.88,Graduated,0244786381,student0161@ucc.edu.gh
UCC02181,Student_0162,male,BSc Nursing,School of Business,23.0,North East,100,1152.84,withdrawn,0241312420,student0162@ucc.edu.gh
UCC02182,Student_0163,F,BSc. Data Science,School of Economics,18.0,Western North,200,5320.13,Graduated,0242528222,student0163@ucc.edu.gh
UCC02183,Student_0164,,,School of Economics,21.0,Western,200,3468.79,Deferred,0244648508,student0164@ucc.edu.gh
UCC02184,Student_0165,Male ,info tech,Faculty of Education,17.0,Bono,200,5334.07,,0242727305,student0165@ucc.edu.gh
UCC02185,Student_0166,F,BSc. Data Science,School of Business,23.0,Northern,400,5287.98,Active,0246750482,student0166@ucc.edu.gh
UCC02186,Student_0167,Female,BSc Nursing,School of Medical Sciences,27.0,Western,100,6646.27,Deferred,0244543149,student0167@ucc.edu.gh
UCC02187,Student_0168,,BSc. Data Science,School of Agriculture,23.0,Oti,200,4680.95,Deferred,0240073014,student0168@ucc.edu.gh
UCC02188,Student_0169,male,BCom Accounting,School of Agriculture,18.0,Ashanti,100,,Deferred,0246495629,student0169@ucc.edu.gh
UCC02189,Student_0170,,BSc Agriculture,School of Economics,21.0,Northern,300,4960.49,Active,0244751815,student0170@ucc.edu.gh
UCC02190,Student_0171,F,BA Geography,Faculty of Education,23.0,Savannah,200,5854.53,withdrawn,0241960378,student0171@ucc.edu.gh
UCC02191,Student_0172,,BA Geography,Faculty of Education,22.0,Northern,200,539.8,Graduated,0249287309,student0172@ucc.edu.gh
UCC02192,Student_0173,M,BA Economics,School of Agriculture,25.0,Western,200,3987.39,withdrawn,0244644425,student0173@ucc.edu.gh
UCC02193,Student_0174,,BA Econ,Faculty of Education,29.0,Bono East,300,4503.76,,0243913558,student0174@ucc.edu.gh
UCC02194,Student_0175,Male ,Nursing,School of Medical Sciences,22.0,Bono East,100,4856.1,withdrawn,0247492340,student0175@ucc.edu.gh
UCC02195,Student_0176,M,BCom Accounting,School of Agriculture,,Bono East,200,3343.25,withdrawn,0248374417,student0176@ucc.edu.gh
UCC02196,Student_0177,,info tech,School of Economics,20.0,Upper East,200,5155.65,Graduated,0249615879,student0177@ucc.edu.gh
UCC02197,Student_0178,M,BA Econ,Faculty of Science and Technology,26.0,Ahafo,100,5858.7,Graduated,0242633660,student0178@ucc.edu.gh
UCC02198,Student_0179,Male ,BSc Data Science,School of Medical Sciences,29.0,Central,400,3968.76,Active,0240512117,student0179@ucc.edu.gh
UCC02199,Student_0180,Male ,BSc Data Science,School of Agriculture,22.0,Upper West,400,3633.43,,0247524646,student0180@ucc.edu.gh
UCC02200,Student_0181,female,BA Geography,School of Business,23.0,Eastern,200,5274.53,active,0249639958,student0181@ucc.edu.gh
UCC02201,Student_0182,male,BSc. Data Science,Faculty of Science and Technology,23.0,Bono East,200,4991.1,Graduated,0243907378,student0182@ucc.edu.gh
UCC02202,Student_0183,,BSc Data Science,School of Medical Sciences,20.0,North East,400,5080.2,Graduated,0247084756,student0183@ucc.edu.gh
UCC02203,Student_0184,M,BA Econ,School of Economics,25.0,Western North,400,3057.3,,0242889133,
UCC02204,Student_0185,Female,BEd Mathematics,Faculty of Education,22.0,Western,200,8083.31,active,0240321529,student0185@ucc.edu.gh
UCC02205,Student_0186,M,BCom Accounting,School of Medical Sciences,23.0,Western,100,1838.17,Graduated,0248877153,student0186@ucc.edu.gh
UCC02206,Student_0187,,BSc Agriculture,School of Business,26.0,Volta,400,5838.77,withdrawn,0249119607,student0187@ucc.edu.gh
UCC02207,Student_0188,Male ,BSc. Data Science,School of Business,21.0,Volta,200,3938.97,,0244971015,student0188@ucc.edu.gh
UCC02208,Student_0189,Male ,BA Economics,School of Business,23.0,Bono,300,8426.14,Graduated,0243788456,student0189@ucc.edu.gh
UCC02209,Student_0190,,BA Economics,School of Agriculture,20.0,Savannah,100,5327.12,Active,0243921938,student0190@ucc.edu.gh
UCC02210,Student_0191,,BA Geography,Faculty of Science and Technology,19.0,Northern,200,6080.2,Graduated,0244045954,student0191@ucc.edu.gh
UCC02211,Student_0192,F,BSc. Data Science,School of Agriculture,23.0,Upper West,300,5397.5,active,0247492239,student0192@ucc.edu.gh
UCC02212,Student_0193,M,BA Geography,Faculty of Education,23.0,Greater Accra,400,,withdrawn,0247861855,student0193@ucc.edu.gh
UCC02213,Student_0194,M,Nursing,School of Medical Sciences,25.0,North East,300,4934.84,active,0245085604,student0194@ucc.edu.gh
UCC02214,Student_0195,Male ,BA Geography,Faculty of Science and Technology,20.0,Greater Accra,300,,,0242813282,student0195@ucc.edu.gh
UCC02215,Student_0196,Female,BCom Accounting,School of Medical Sciences,19.0,Northern,300,5368.15,Graduated,0240700683,student0196@ucc.edu.gh
UCC02216,Student_0197,Female,Nursing,School of Economics,28.0,Ashanti,400,6219.68,Graduated,0249344189,student0197@ucc.edu.gh
UCC02217,Student_0198,M,info tech,School of Economics,23.0,Western,300,5072.62,Active,0248880773,student0198@ucc.edu.gh
UCC02218,Student_0199,male,,School of Medical Sciences,18.0,Western,400,5765.65,withdrawn,0249000292,student0199@ucc.edu.gh
UCC02219,Student_0200,female,BCom Accounting,Faculty of Science and Technology,22.0,Bono East,200,3887.06,Graduated,0243189896,student0200@ucc.edu.gh
UCC02220,Student_0201,Male ,Nursing,School of Business,20.0,Ashanti,300,2682.29,Active,0241278383,student0201@ucc.edu.gh
UCC02221,Student_0202,Male ,BSc Information Technology,Faculty of Science and Technology,,North East,100,3691.56,Active,0241681758,student0202@ucc.edu.gh
UCC02222,Student_0203,M,Nursing,School of Agriculture,21.0,Ashanti,200,,active,0244049663,student0203@ucc.edu.gh
UCC02223,Student_0204,,Nursing,Faculty of Science and Technology,26.0,North East,400,3693.04,withdrawn,0249559904,student0204@ucc.edu.gh
UCC02224,Student_0205,Female,BA Econ,School of Medical Sciences,18.0,Eastern,200,3331.64,Deferred,0246470817,student0205@ucc.edu.gh
UCC02225,Student_0206,female,BSc Agriculture,Faculty of Science and Technology,27.0,Greater Accra,300,3650.94,,0244966072,student0206@ucc.edu.gh
UCC02226,Student_0207,female,BSc Agriculture,School of Economics,25.0,Savannah,400,4271.35,Active,0243216946,student0207@ucc.edu.gh
